[4.576888],5.6630407214148075,[0.04725062],[0.02147409],[0.87974846],0.013617845351742819,0.7114787626236164
[108.61066],108.95852403982673,[36.69232],[0.5166947],[0.11226881],0.3500090432184813,1.0
[19.967878],22.02646640221642,[0.7873433],[0.09378546],[0.38841093],0.055064201386295454,0.9942701620186527
[7.704249],8.620573372944534,[0.11517249],[0.03656825],[0.7885029],0.020840521406972505,0.8846592375603142
[4.151411],4.8224214611312535,[0.03414171],[0.01952117],[0.9117722],0.0115830092508668,0.6550967693618079
[3.8389711],4.940236552516915,[0.03901663],[0.0184326],[0.92057097],0.011806904240180391,0.7260156872062813
[14.266031],15.956917934879177,[0.39707392],[0.06688569],[0.45685953],0.03926151609319169,0.9704550161328707
[3.6935813],4.5660321920281834,[0.03129722],[0.01755795],[0.9357576],0.010918920806802256,0.5957389382892844
[5.5626836],6.884212909994629,[0.06992355],[0.02602253],[0.78130054],0.016564449096197392,0.9129979521510694
[13.872929],15.336446915889816,[0.37056398],[0.06535947],[0.53967655],0.03775562788428226,0.9803831308061182
[6.876063],7.669102682570533,[0.08763163],[0.03232402],[0.7918855],0.018556759299894386,0.835899746356467
[3.0431426],3.785487551210043,[0.02071357],[0.0142697],[0.9419582],0.009056903783075894,0.5638826029893196
[8.421391],9.838092837471647,[0.14680439],[0.03949834],[0.6741251],0.02387716429089758,0.8939729141385349
[6.632574],7.25513776063427,[0.08095115],[0.03146804],[0.84401184],0.01754361538564157,0.8249098619156047
[20.418827],22.895631918283016,[0.86309975],[0.09580921],[0.34085137],0.057294341097358155,0.9877623118756894
[2.2467413],2.939496437336631,[0.01331287],[0.01080899],[0.9705769],0.006999005692952403,0.49477902203616875
[4.5037923],5.440994192323984,[0.0454749],[0.02172765],[0.8944565],0.012907004485025747,0.7103782401578561
[4.168087],5.21075082241521,[0.04167853],[0.02012444],[0.9041572],0.012394150131482413,0.6532791862378445
[2.4332602],3.7647064481587544,[0.02166507],[0.01176552],[0.94958925],0.00894439694949675,0.5723404002206449
[3.5782373],4.639829830798178,[0.03298745],[0.01725835],[0.9219512],0.011014325806944093,0.6658967664061095
[3.1313348],3.9486616064251017,[0.02373866],[0.01502197],[0.9493841],0.009392257254774357,0.5892353885189581
[3.3429787],4.241956391897696,[0.02738858],[0.016001],[0.9360293],0.01010036892641979,0.5976637008761468
[4.1353445],4.90133226150014,[0.03513838],[0.01940439],[0.90798986],0.011772734072686808,0.6735798780920826
[4.1353445],4.90133226150014,[0.03513838],[0.01940439],[0.90798986],0.011772734072686808,0.6735798780920826
[108.610664],108.95852403982673,[36.692326],[0.5166947],[0.11226875],0.3500090432184813,1.0
[4.802146],5.6224649438914325,[0.0471288],[0.02263379],[0.8888343],0.013531646217028058,0.7359162823180446
[2.422199],3.139068217673442,[0.01437668],[0.01142469],[0.96121],0.007493487549335894,0.49669036842959774
[7.174705],7.7896582587013095,[0.09249157],[0.03394121],[0.81322235],0.018865743097772177,0.8085411905981306
[4.1919603],4.995935504665013,[0.03690113],[0.01971495],[0.90881896],0.012006404702990971,0.6814767008711924
15.343206001050545,17.52690884938202,0.4825166690570768,0.07173486316407268,0.43567115714361404,0.0433183979861482,0.9776854193950425
