145.0276543,56863,20466,13545,7287,5544
145.2417284,75721,24567,16104,8815,8536
154.3809877,91783,26809,15433,8904,8252
155.2080247,46859,18282,11043,4695,3416
153.9909877,43561,19851,12927,5422,3790
146.8839506,28663,16846,9216,3943,2859
144.4632099,24928,15901,7457,3832,2630
142.8828395,22483,14861,6429,3830,2693
142.6776543,21124,14571,5995,3528,2717
142.3769136,24588,15417,6491,3388,2822
142.5154321,31181,18628,8903,4352,3528
141.6176543,25627,15864,7455,3850,2950
143.741358,22868,15322,6808,3472,2797
147.4109877,27431,17057,7889,4075,3171
155.9445679,24531,16064,6913,3932,2999
160.2175309,29577,19262,9611,5131,4055
163.5479012,25228,15833,8493,4366,3622
165.612716,27208,16627,8169,3979,3373
167.3001235,30223,18205,11420,4770,3627
168.2871605,33744,24854,16761,5896,4175
167.6982716,42716,25986,17144,6044,4232
167.9412346,27777,23393,15448,5158,3734
168.1404938,29248,28621,17530,6574,5152
169.7301235,26522,22255,11709,5142,3956
168.7664198,25915,19138,9850,4022,3117
166.6834568,28816,19885,9556,4433,3385
157.3883951,26953,17905,8569,4083,3039
157.6365432,33070,20868,11028,5063,3896
161.3350617,29953,18366,8381,4061,3189
174.0548148,41612,18456,11172,5233,4458
180.4759259,42649,18301,11845,5163,4695
186.1692593,46654,20011,13014,5688,4387
196.2454321,43793,17041,10767,5142,3964
196.6502469,84993,17313,12546,5759,4443
192.494321,75557,17726,11570,5731,4632
173.112963,67334,15209,8610,4852,4562
167.8340741,59492,14324,7171,3958,4042
165.992963,72280,16713,9146,5366,5776
175.2577778,89684,16110,11002,5882,5910
174.5411111,47556,10746,6118,3281,2878
171.5111111,49358,12513,6813,3536,3136
160.3988889,38867,9602,5629,2966,2578
157.0688889,39194,9418,5493,3014,2471
155.7522222,35416,8654,4426,2936,2333
157.3698765,36648,9726,4377,2981,2394
159.3891358,36927,10104,4586,2976,2340
162.7309877,42958,12749,5651,3767,2775
171.1174074,41706,10641,5432,3193,2597
174.312963,35415,10421,4805,2977,2672
176.0396296,36714,10836,5346,3106,2666
173.9132099,57343,14673,9279,4576,3995
174.4902469,57831,13064,7923,3765,3151
175.3865432,38760,9795,5705,2930,2466
177.0648148,41882,11886,7027,3540,2921
178.2525926,45065,13808,8437,3866,2925
179.4125926,53376,16361,10808,5204,3729
181.3077778,56637,13670,8806,4604,3642
181.84,45552,13140,7801,4570,3435
181.7722222,69821,16997,13524,6866,4907
179.9340741,57331,13197,9915,5349,3586
179.5440741,51150,13218,10473,4755,3633
179.4318519,53426,13750,13547,4851,3452
176.9860494,66239,14258,16327,6523,3934
179.3879012,57047,11535,12592,4486,3096
184.0260494,61134,12102,12268,4186,3402
195.9839506,74487,13197,11704,4290,3568
201.2820988,83095,14729,11911,4617,3869
205.0039506,90031,15209,11149,4304,4077
209.2176543,89810,14945,10903,4565,4209
208.2358025,81478,13500,10713,4622,4060
204.1265432,71644,14934,10996,4997,3959
189.0844444,57196,12609,8793,3900,3412
184.5744444,55496,13049,8098,4015,3578
182.7911111,65723,15456,10546,5361,4924
190.2425926,83642,13721,10046,6246,5291
189.0314815,44194,9262,5920,3151,2906
185.6659259,43390,8664,6015,3252,2626
173.8204938,36466,8702,4956,3155,2650
170.8901235,32839,8293,4519,3092,2257
170.5493827,30040,7832,4198,2775,2193
175.0269136,35193,9173,4645,3220,2402
178.1939506,36261,8928,5025,3012,2231
182.2791358,44690,12239,5962,3784,2660
192.4780247,41634,9759,4808,3236,2305
194.5028395,39781,10686,4475,3241,2257
193.5491358,76070,15189,8895,6038,4164
182.4603704,57620,11448,6632,4186,2689
180.917037,43617,9903,5373,3316,2344
181.7625926,33883,7789,4243,2799,1883
189.8528395,41126,12749,6260,3893,2674
191.834321,42193,13616,7189,4338,2824
192.5628395,48306,16504,10672,6087,3755
189.6946914,50956,16270,9785,6354,3631
189.6750617,43690,15380,10348,5519,3672
190.1602469,62794,30051,11254,7888,5672
192.8816049,47809,18822,7675,5090,3820
193.0779012,46581,13763,7040,5484,3472
192.4804938,59020,16442,9613,7424,4454
186.4103704,48810,13144,6295,5129,3380
187.7348148,57679,13351,6651,5254,3386
191.7748148,63080,13281,7016,5678,3291
205.0528395,78061,13843,7157,5495,3427
209.6320988,72106,13225,6700,4537,3713
212.0350617,72869,14052,6512,4262,3866
