0-BDX,zhijiejiahe-BDX
-2.163454334,-39072.04156
2.209019153,-19390.43602
3.189851105,2078.951103
2.733358175,14807.37749
-1.190358086,15370.56083
-3.000101801,8035.407017
-4.725804165,-4107.074362
-7.444325058,-14791.33879
-8.195501534,-15827.9586
-8.056220966,-9417.500342
-8.013012687,-3635.031116
-5.354269223,-331.4743423
-1.066541587,3585.292778
9.17274571,11848.48557
13.4750488,24956.9724
16.16292774,34159.86094
17.48189948,27371.64445
16.75525373,5796.968006
14.22849857,-11388.76701
5.818250429,-3376.790848
2.752235214,27735.48514
0.947067219,51208.60153
3.689731738,38502.71019
1.939438041,-1390.114311
-1.016823946,-33989.93416
-8.106381296,-43818.93118
-11.28063006,-45996.23715
-13.46688601,-54359.43487
-16.1964083,-60693.78745
-15.25970698,-54038.27815
-12.1880235,-44328.12904
-0.535798801,-48571.1101
1.970315351,-60145.08076
1.775901738,-57416.6404
-6.046283077,-42222.42064
-7.947542419,-36846.38642
-8.855090483,-40690.95013
-8.48180458,-29677.65208
-7.618323104,-2993.75058
-5.977489218,11826.9382
-0.980769885,6624.024185
0.280016409,6479.760719
0.383441032,27689.54294
-2.367953962,50915.91167
-3.306791094,46087.40121
-4.130486603,10922.33201
-7.772978394,-22579.92378
-6.166330588,-21353.72701
-2.244436882,12245.33603
9.462782203,46860.09634
13.91246598,61170.16994
16.57473971,58750.3167
17.94938138,47655.77766
16.6621181,29337.15603
13.21277423,9922.241592
1.190580029,1562.987167
-1.774470427,7314.405602
-2.093100875,16928.10273
6.503000033,19106.42849
6.776610573,9886.620529
4.996086763,-8767.022839
-2.684267631,-30499.79419
-5.687905196,-46234.69966
-7.86047978,-50857.25379
-8.666884034,-47846.55919
-9.577546264,-43813.41647
-10.05731992,-40758.6524
-11.58141017,-37744.56886
-10.09167089,-37396.42118
-7.063272064,-44014.79521
0.822213015,-54304.05279
4.440634101,-55895.20602
7.110448322,-39411.5382
8.509139042,-10001.27308
9.525313713,16577.34398
9.836480693,28845.19433
8.567566787,28255.6095
8.126842162,23448.93884
7.639252648,19093.8292
8.539381645,13299.86114
6.884041641,5495.794521
4.107828671,1556.700912
-5.881570144,6874.805197
-6.328315992,19533.75082
-3.324715797,38008.85436
8.700628498,68780.74296
14.42837434,112371.6157
19.42991892,147431.2806
28.81641034,147437.2671
28.53417861,112171.1614
23.69436412,68085.92002
3.632793066,40629.80321
-2.322122425,35317.62569
-4.834570595,38185.34435
3.764090967,29751.03064
2.386939201,5912.496458
-1.297404366,-18276.73889
-13.05736723,-30517.64629
-17.02805652,-33876.47133
-18.97792667,-34380.7987
-17.98557044,-33184.98476
-16.58330007,-31862.52274
-13.84974077,-31975.06056
-6.062547576,-32446.88041
-3.456801201,-33102.18134
-2.310193991,-34634.96364
-5.006610868,-35770.83598
-4.989216415,-34154.94835
-4.641936983,-25557.28493
-3.501806934,-7264.243034
-2.841067934,11129.68279
-2.196799055,14963.13473
-0.805855466,7113.645447
-0.766226828,1929.941772
-1.314815389,-383.3884506
-3.621880692,-7075.977219
-4.468817556,-11697.98967
-5.025934009,-6618.236038
-7.904550151,-829.7673492
-5.923417944,-2970.275902
-1.693906386,-3654.50737
9.867405969,9604.947899
14.78095336,32955.93974
18.13010895,49434.16169
21.98291341,45378.68114
20.65182835,24716.33829
16.20484776,8974.337486
0.836362616,15985.13239
-3.988888058,37562.183
-6.076557411,47627.06634
1.081260408,32973.04006
-0.41310494,5020.091772
-4.051788218,-19863.78613
-16.16052371,-37796.51846
-19.34469384,-50092.89835
-19.93006916,-53057.55603
-15.68836299,-46046.41109
-12.7487121,-39452.30243
-8.882860933,-41721.37838
1.104345494,-44891.72884
2.924715694,-36248.42047
1.773379373,-20401.47945
-9.506643605,-15249.75125
-11.23530635,-25235.96706
-10.5696079,-32104.42596
-2.654209396,-17916.53319
-0.843037868,11821.72441
-0.280766543,35046.53059
-3.311579112,38166.94744
-3.490773466,27761.56919
-3.162538277,18947.41544
-0.59600117,17708.31532
-0.552881832,18200.57273
-1.302305609,16413.27745
-7.523765258,19535.18449
-6.350453071,35588.63987
-2.46185226,58226.8477
10.66404201,71263.74216
15.08998307,68553.43527
17.33799243,61059.03682
17.01158312,59582.1283
15.1994646,57313.54118
11.50517341,41305.36579
-0.168481247,17930.04227
-3.055712777,7420.778557
-3.253682076,11272.50799
5.999725669,8448.722166
6.107383424,-11629.91425
3.831441743,-35877.13319
-6.438275291,-50318.91809
-9.274886506,-54571.36255
-10.28852693,-53326.03721
-7.040421098,-50526.32958
-6.238067561,-49459.00853
-5.442645614,-48312.66606
-4.221236928,-42003.57733
-3.764973143,-32629.4114
-3.640887221,-28562.32728
-6.565616706,-32201.07906
-5.068736669,-36814.42773
-1.866833448,-32797.53846
7.302298091,-13616.36228
10.71755601,16048.23261
12.64119812,38933.56915
12.4253853,43352.01736
11.8519346,36194.274
10.27305997,27980.88197
4.919520344,20481.2836
3.407286145,15809.65555
2.967168719,14975.92122
4.056178099,7831.170036
5.418386887,-8031.175446
7.510855795,-8928.867472
12.13783075,22439.74625
14.33876707,61769.53809
15.91795859,71453.23767
19.77108021,48075.72923
17.93642184,17094.53921
13.30970253,-3846.289143
-2.541239003,-16910.04587
-6.426321666,-29574.59513
-6.777667318,-39912.80527
5.453608206,-36702.61357
5.384925015,-17141.25397
2.065201135,174.5317383
-12.96823495,-5042.362064
-16.44100336,-25075.76213
-16.81574803,-32751.70356
-9.962014389,-19272.39325
-7.236373939,-6376.421489
-4.50835142,-15482.1126
0.638956706,-36361.93139
1.561350145,-40338.05891
0.675745729,-22551.91791
-6.666613986,-11371.74197
-7.679297814,-27975.03024
-7.011057624,-55156.14842
-1.133854341,-58955.47565
0.252572831,-29339.23472
0.676260633,11493.88297
-2.333275863,35268.19136
-1.979859397,33611.18
-0.733985171,18607.94864
4.066684017,4853.831856
5.102995481,-3353.763699
5.037268333,-9768.052998
0.278477396,-16790.83504
0.704103811,-19078.11058
2.723096772,-8015.752869
10.71821801,14662.79954
12.63888012,33453.32744
12.86781208,35265.15543
11.29686066,21605.54868
8.225260855,519.8719635
3.544820143,-20825.35838
-8.303045542,-32503.61459
-12.03064608,-28240.44542
-13.19661064,-18124.03498
-6.141814533,-17890.68936
-6.427528088,-27660.41739
-8.394676741,-37262.43323
-16.02470592,-44494.45249
-18.36760637,-52445.20575
-19.40487779,-58601.51649
-17.42175151,-58927.36929
-17.13311697,-54884.43859
-16.82426286,-51185.50935
