0-BDX,zhijiejiahe-BDX,julijiahe-BDX,IHGS-BDX
6.884041641,-3752.409608,-1184.859547,0.19448547
4.107828671,-7842.570895,-3756.007394,0.168527113
-5.881570144,-2643.802751,-972.8712397,0.186565151
-6.328315992,9928.68099,6548.807206,0.221489843
-3.324715797,28351.08823,18441.63947,0.252111305
8.700628498,59104.65374,37823.47812,0.297246679
14.42837434,102711.9712,63972.08193,0.372575044
19.42991892,137822.9839,84689.75348,0.448154285
28.81641034,137914.9803,85425.17592,0.476990369
28.53417861,102769.107,65732.23256,0.439957613
23.69436412,58837.63168,39725.38981,0.352736289
3.632793066,31567.77485,21855.44712,0.265790125
-2.322122425,26473.02627,16468.36857,0.244684787
-4.834570595,29587.80553,16994.46411,0.289211512
3.764090967,21428.36917,12657.55857,0.302843609
2.386939201,-2109.513591,-173.4548986,0.220001197
-1.297404366,-25974.65804,-14649.15706,0.110114803
-13.05736723,-37870.51077,-23699.7124,0.067067439
-17.02805652,-40865.95448,-27131.99902,0.070791507
-18.97792667,-40991.46965,-27024.81754,0.057095392
-17.98557044,-39404.33762,-24679.04863,0.042738153
-16.58330007,-37681.17808,-22539.57523,0.073166575
-13.84974077,-37386.76605,-22389.2384,0.111688511
-6.062547576,-37448.62716,-23182.22009,0.093549129
-3.456801201,-37694.18762,-23531.23809,0.053358783
-2.310193991,-38820.61921,-23189.21578,0.079040936
-5.006610868,-39556.6219,-22313.01262,0.148984557
-4.989216415,-37550.39927,-21053.99945,0.154160424
-4.641936983,-28575.01949,-17677.28736,0.09352239
-3.501806934,-9919.858098,-9732.145952,0.081060433
-2.841067934,8817.804345,-482.7475492,0.139126367
-2.196799055,12973.96987,3150.308817,0.176408426
-0.805855466,5423.779978,1416.507112,0.17805814
-0.766226828,513.8041197,-169.7089779,0.207044327
-1.314815389,-1553.313831,-2029.796293,0.237629513
-3.621880692,-8028.809761,-6711.849372,0.20251927
-4.468817556,-12464.26548,-9433.95327,0.151333427
-5.025934009,-7229.468055,-5859.230167,0.164688978
-7.904550151,-1318.263219,-1344.336797,0.199016563
-5.923417944,-3368.754281,-1332.416777,0.183696515
-1.693906386,-3995.816594,-1226.033119,0.159902094
9.867405969,9288.143372,6152.050982,0.189408516
14.78095336,32631.54222,19521.60729,0.241951715
18.13010895,49070.84493,29641.01988,0.268374399
21.98291341,44946.2276,28014.77725,0.273415112
20.65182835,24185.92939,15820.61655,0.257528964
16.20484776,8318.794838,5085.138117,0.20217315
0.836362616,15179.18835,7109.567676,0.150811952
-3.988888058,36582.68259,18973.95416,0.181074612
-6.076557411,46453.15954,26229.70331,0.262848596
1.081260408,31586.38185,19484.45332,0.271863746
-0.41310494,3404.957776,3033.168762,0.177578515
-4.051788218,-21720.39256,-13480.10069,0.08651037
-16.16052371,-39904.68111,-25187.55883,0.067202428
-19.34469384,-52459.87412,-31268.74046,0.070287081
-19.93006916,-55687.6551,-31167.09046,0.056920866
-15.68836299,-48941.02352,-26919.43728,0.063155556
-12.7487121,-42609.93118,-24360.7465,0.095959359
-8.882860933,-45137.76464,-25970.03258,0.106760423
1.104345494,-48559.85632,-25911.05273,0.106488148
2.924715694,-40158.50089,-18422.63625,0.160794707
1.773379373,-24541.07725,-8609.311441,0.237661466
-9.506643605,-19603.90551,-7474.668883,0.220660442
-11.23530635,-29787.36703,-16212.35245,0.111154811
-10.5696079,-36833.66775,-22551.41692,0.048224816
-2.654209396,-22802.29075,-15454.67908,0.091024563
-0.843037868,6802.39245,1460.360679,0.1541971
-0.280766543,29917.9514,14717.36894,0.182909075
-3.311579112,32954.52505,16231.65514,0.212252245
-3.490773466,22491.61284,10148.90039,0.24413943
-3.162538277,13646.74813,5534.677128,0.236781422
-0.59600117,12404.06775,5715.122842,0.203178574
-0.552881832,12919.90422,6900.315858,0.185699879
-1.302305609,11183.05886,6407.015677,0.182366896
-7.523765258,14381.8267,8179.389854,0.179028511
-6.350453071,30537.75045,16976.21948,0.183693574
-2.46185226,53303.0828,29739.96238,0.205840038
10.66404201,66490.57213,37785.50675,0.244893367
15.08998307,63952.8808,37505.57218,0.276681024
17.33799243,56651.59383,34359.62979,0.280225389
17.01158312,55386.59555,33891.22026,0.293449642
15.1994646,53346.81333,32571.46416,0.326225988
11.50517341,37582.39885,23749.71186,0.289918993
-0.168481247,14463.77534,10889.91565,0.195275089
-3.055712777,4222.027301,4743.483961,0.20869475
-3.253682076,8350.013389,6276.43333,0.326229221
5.999725669,5809.074979,4320.47508,0.3331841
6.107383424,-13982.215,-7282.654122,0.197244667
3.831441743,-37939.62819,-21908.36824,0.098094903
-6.438275291,-52091.12437,-31252.70681,0.083089
-9.274886506,-56054.70708,-33711.54265,0.069425427
-10.28852693,-54523.69275,-31586.37263,0.059870345
-7.040421098,-51443.14079,-28341.53899,0.08441515
-6.238067561,-50101.26951,-27217.23371,0.104929984
-5.442645614,-48687.8279,-27414.41188,0.10162568
-4.221236928,-42120.01662,-24940.87137,0.088514979
-3.764973143,-32496.32224,-19410.77587,0.065363825
-3.640887221,-28189.45467,-15177.46568,0.07166067
-6.565616706,-31598.51715,-15142.4804,0.154097219
-5.068736669,-35992.45253,-17499.57545,0.229122136
-1.866833448,-31766.18462,-17284.07803,0.185018413
7.302298091,-12385.1386,-9467.644043,0.103421193
10.71755601,17470.43995,5285.87579,0.1327889
12.64119812,40538.77704,18388.12272,0.224491316
12.4253853,45133.23776,22483.24974,0.252698358
11.8519346,38145.67629,19470.25813,0.247584022
10.27305997,30097.95586,14421.43777,0.261616254
4.919520344,22760.93721,9365.676848,0.221028088
3.407286145,18250.37344,6628.590819,0.128971125
2.967168719,17577.74483,7072.137038,0.135811833
4.056178099,10595.68211,5160.545039,0.243096424
5.418386887,-5100.894376,-746.1332054,0.274789313
7.510855795,-5828.16405,1242.869605,0.224566177
12.13783075,25717.09305,19866.03458,0.249225231
14.33876707,65231.30755,42385.28974,0.335616184
15.91795859,75108.66877,48771.79505,0.361363152
19.77108021,51935.53335,36379.19189,0.347951669
17.93642184,21170.76695,18179.49947,0.328029459
13.30970253,459.7056029,4320.911227,0.235813988
-2.541239003,-12359.80477,-4894.235017,0.132449136
-6.426321666,-24764.64453,-12708.03029,0.164303517
-6.777667318,-34826.8366,-18580.93827,0.260278722
5.453608206,-31323.59557,-17539.76893,0.254027129
5.384925015,-11451.70056,-8418.568453,0.172668796
2.065201135,6192.497155,-337.7255862,0.118480302
-12.96823495,1322.021665,-3214.80564,0.098424487
-16.44100336,-18346.97386,-13167.06092,0.090912072
-16.81574803,-25640.77605,-16762.64587,0.080544666
-9.962014389,-11762.00966,-9798.493922,0.066165535
-7.236373939,1550.14015,-3208.64253,0.079863029
-4.50835142,-7123.495717,-7441.993825,0.095230522
0.638956706,-27556.32248,-16820.85579,0.066212693
1.561350145,-31071.69869,-16684.75132,0.084500714
0.675745729,-12812.35739,-5294.419405,0.212320213
-6.666613986,-1148.033481,1489.266086,0.28499381
-7.679297814,-17257.83769,-8198.409462,0.183117546
-7.011057624,-43937.91309,-24962.08178,0.054461585
-1.133854341,-47230.44747,-29032.8461,0.056248144
0.252572831,-17103.69971,-12976.57805,0.147605426
0.676260633,24241.64197,11629.17818,0.222582531
-2.333275863,48527.74223,27431.21157,0.251594508
-1.979859397,47379.96135,27315.51564,0.273056493
-0.733985171,32881.15426,17495.36046,0.304578435
4.066684017,19624.4943,8094.925556,0.29031531
5.102995481,11905.14033,3590.221545,0.211294528
5.037268333,5967.68706,1656.44795,0.162939381
0.278477396,-591.7902377,-1041.084595,0.187879539
0.704103811,-2431.424895,-2692.013077,0.199882225
2.723096772,9060.853334,2596.373227,0.186482574
10.71821801,32149.65824,15940.05172,0.237642209
12.63888012,51328.89524,29160.98587,0.326350258
12.86781208,53506.08915,32776.09242,0.340861635
11.29686066,40186.85828,25061.30785,0.292410445
8.225260855,19415.01582,10860.53595,0.247294259
3.544820143,-1644.325007,-2618.761661,0.194852893
-8.303045542,-13065.97055,-7455.633823,0.152522724
-12.03064608,-8576.56847,-1132.239166,0.187715568
-13.19661064,1734.657932,7685.101794,0.254343289
-6.141814533,2130.55478,7887.52723,0.238796488
-6.427528088,-7509.60303,-652.7707494,0.154772852
-8.394676741,-17015.60769,-10097.31405,0.090838507
-16.02470592,-24185.65902,-16538.47917,0.058516303
-18.36760637,-32108.89749,-20915.12376,0.038413846
-19.40487779,-38272.49123,-23327.72473,0.043136806
-17.42175151,-38640.62961,-23136.31863,0.060629322
-17.13311697,-34675.03935,-21168.33979,0.062775527
-16.82426286,-31088.42643,-19156.21784,0.063714647
