0,192.8316
1,196.57547
2,196.3249
3,199.00522
4,200.80824
5,205.0711
6,208.64363
7,200.04665
8,195.83426
9,192.22778
10,191.61636
11,190.08838
12,192.21506
13,198.77307
14,201.84906
15,201.4727
16,203.58066
17,199.28156
18,194.37706
19,183.93028
20,186.3784
21,184.12411
22,193.67755
23,194.37509
24,190.00867
25,174.14297
26,172.57544
27,177.2132
28,184.24759
29,183.68378
30,182.91203
31,187.33464
32,190.81955
33,194.37701
34,187.91112
35,185.43216
36,184.69183
37,190.9014
38,192.03041
39,189.89279
40,185.74861
41,184.61308
42,186.13614
43,186.4042
44,182.61337
45,182.05258
46,181.68362
47,188.9282
48,193.51064
49,200.94778
50,199.52432
51,196.21869
52,192.97482
53,190.80078
54,189.48198
55,181.91576
56,184.31952
57,186.95193
58,195.83945
59,193.63573
60,188.8746
61,179.7243
62,177.88882
63,178.65306
64,180.32877
65,178.89604
