0,187.85773
1,189.54018
2,195.52893
3,191.84221
4,185.17354
5,180.82199
6,190.45236
7,195.89511
8,195.76654
9,193.82101
10,190.17084
11,188.54163
12,191.48718
13,197.69055
14,196.1737
15,189.5451
16,182.8539
17,189.37764
18,201.67203
19,210.95448
20,214.60208
21,216.18115
22,213.09862
23,209.818
24,201.30954
25,193.8243
26,189.53189
27,200.52011
28,201.84633
29,198.6218
30,187.2628
31,184.30605
32,183.937
33,187.80627
34,194.5022
35,194.50215
36,194.58206
37,195.44402
38,196.17345
39,194.49672
40,190.98448
41,196.91698
42,205.10028
43,209.54597
44,212.48584
45,214.2681
46,213.75003
47,211.76099
48,209.72087
49,202.5987
50,201.26549
51,206.74287
52,202.32622
53,206.43533
54,209.55261
55,217.27217
56,221.88382
57,224.62973
58,224.70952
59,215.07529
60,202.47038
61,199.9357
62,195.49849
63,205.31851
64,212.21103
65,212.02051
66,201.45662
67,193.94406
68,194.5534
69,196.82286
70,204.01727
71,205.40706
72,205.17531
73,209.54764
74,213.9351
75,207.48079
76,201.83994
77,202.12524
78,208.34332
79,216.5676
80,218.20438
81,217.21799
82,211.25623
83,210.54947
84,215.14136
85,220.40411
86,218.72108
87,213.44543
88,212.99896
89,216.15599
90,225.49771
91,228.79507
92,231.6738
93,230.95804
94,226.013
95,221.04414
96,215.67645
97,209.39867
98,203.69519
99,202.59593
100,212.58797
101,213.40178
102,209.03026
103,202.32697
104,200.42563
105,199.58777
106,201.56235
107,202.58208
