0-QSX,2-QSX,53-QSX,54-QSX,70-QSX,72-QSX
136.9603667,21299.50734,113803.2976,3962.633735,22238.22563,10300.19662
137.2372155,21490.66276,114532.2979,3969.434177,22211.1278,10255.8038
137.5219995,21679.91062,115283.7564,3975.500337,22183.94937,10191.35759
137.8150485,21867.15896,116055.6003,3980.834446,22156.8136,10107.9819
138.1166782,22052.31795,116845.6892,3985.439917,22129.84315,10007.04498
138.4271892,22235.29995,117651.8262,3989.321343,22103.15976,9890.148466
138.7468663,22416.01962,118471.7687,3992.484483,22076.88408,9759.113546
139.0759774,22594.39391,119303.2404,3994.936265,22051.13532,9615.964338
139.4147732,22770.34217,120143.9418,3996.684761,22026.0311,9462.908621
139.7634859,22943.78617,120991.5619,3997.739187,22001.68711,9302.316177
140.1223293,23114.65018,121843.7897,3998.109877,21978.21693,9136.694937
140.4914972,23282.86098,122698.3244,3997.808268,21955.73176,8968.665205
140.8711638,23448.34796,123552.8872,3996.846884,21934.34019,8800.932255
141.2614825,23611.04309,124405.2314,3995.239309,21914.14799,8636.257585
141.6625854,23770.88102,125253.1528,3993.000161,21895.25787,8477.429163
142.0745833,23927.7991,126094.4998,3990.145073,21877.76929,8327.231001
142.4975652,24081.73738,126927.1827,3986.690657,21861.77822,8188.412392
142.9315974,24232.6387,127749.1834,3982.654475,21847.37695,8063.657176
143.376724,24380.44865,128558.5636,3978.05501,21834.65393,7955.553362
143.8329661,24525.11567,129353.4729,3972.911629,21823.69352,7866.563483
144.300322,24666.591,130132.157,3967.244546,21814.57589,7798.996001
144.7787668,24804.82872,130892.9641,3961.074785,21807.37679,7754.97811
145.2682523,24939.78581,131634.3516,3954.424142,21802.16745,7736.43024
145.7687073,25071.4221,132354.8917,3947.315141,21799.01438,7745.042572
146.2800373,25199.70031,133053.277,3939.770995,21797.97925,7782.253825
146.8021247,25324.58605,133728.3242,3931.815557,21799.11878,7849.23259
147.3348293,25446.04783,134378.9786,3923.473281,21802.4846,7946.861399
147.8779876,25564.05704,135004.3163,3914.76917,21808.12317,8075.723762
148.4314141,25678.58799,135603.5476,3905.72873,21816.07563,8236.094299
148.9949009,25789.61784,136176.0175,3896.377923,21826.37778,8427.932112
149.5682182,25897.12666,136721.2075,3886.743115,21839.05997,8650.877481
150.1511151,26001.09736,137238.7354,3876.851028,21854.14702,8904.251934
150.7433193,26101.51572,137728.3545,3866.728686,21871.65824,9187.061712
151.3445384,26198.37034,138189.9533,3856.403366,21891.60728,9498.004605
151.9544598,26291.65264,138623.5526,3845.902543,21914.0022,9835.480089
152.572752,26381.35685,139029.3038,3835.25384,21938.84541,10197.60269
153.1990645,26467.47994,139407.4852,3824.484973,21966.13366,10582.21841
153.8330289,26550.02162,139758.4985,3813.623699,21995.85807,10986.92407
154.4742597,26628.98432,140082.8644,3802.697764,22028.0041,11409.0894
155.1223549,26704.37314,140381.2177,3791.734845,22062.55164,11845.88151
155.7768968,26776.19582,140654.3019,3780.762504,22099.47502,12294.29173
156.4374529,26844.4627,140902.9632,3769.80813,22138.74304,12751.16424
157.103577,26909.18667,141128.1442,3758.89889,22180.31907,13213.22646
157.7748097,26970.38316,141330.8772,3748.061675,22224.16112,13677.12066
158.4506798,27028.07005,141512.2767,3737.32305,22270.22188,14139.4366
159.1307048,27082.26766,141673.5327,3726.709203,22318.44888,14596.74477
159.8143924,27132.99869,141815.9021,3716.245898,22368.78454,15045.62988
160.5012412,27180.28813,141940.7013,3705.958422,22421.16633,15482.72432
161.1907418,27224.1633,142049.2978,3695.871541,22475.52685,15904.74109
161.8823781,27264.65368,142143.1016,3686.009453,22531.79402,16308.50599
162.5756281,27301.79095,142223.5575,3676.395741,22589.89116,16690.98866
163.2699652,27335.60887,142292.1359,3667.053331,22649.73722,17049.33206
163.9648592,27366.14325,142350.3247,3658.00445,22711.24687,17380.88028
164.6597775,27393.43189,142399.6204,3649.270583,22774.3307,17683.20414
165.3541863,27417.51447,142441.5204,3640.872438,22838.89544,17954.12452
166.0475516,27438.43257,142477.5142,3632.829901,22904.84407,18191.73302
166.7393403,27456.22953,142509.0754,3625.16201,22972.07606,18394.40982
167.4290218,27470.9504,142537.6537,3617.886912,23040.48759,18560.8385
168.1160683,27482.64191,142564.6677,3611.021839,23109.97171,18690.01773
168.7999569,27491.35235,142591.497,3604.58307,23180.41858,18781.26965
169.4801699,27497.13153,142619.4753,3598.58591,23251.71567,18834.24491
170.1561965,27500.0307,142649.8837,3593.044662,23323.74803,18848.92424
170.8275336,27500.10248,142683.9444,3587.972601,23396.39848,18825.61668
171.4936868,27497.4008,142722.8149,3583.381955,23469.54782,18764.95438
