0,DJH_NFP
111.3711111,20565
106.3622222,21044
103.0066667,24355
101.3044444,30307
101.2555556,25714
102.86,23167
109.5982716,32492
111.8990123,33298
113.242716,44128
112.1898765,43570
112.6991358,40750
113.3309877,49414
115.1175309,36855
115.2204938,35328
114.6719753,38372
109.7761728,36970
110.6965432,33007
113.737284,36066
123.5260494,41026
127.3367901,44059
129.7971605,45505
130.4893827,42060
130.5623457,41228
129.5982716,39471
125.0791358,40629
123.9295062,42560
123.631358,62415
127.8948148,70860
126.517037,36911
123.2081481,37375
113.1390123,33259
109.5897531,31823
107.7312346,31371
107.6360494,29237
109.1045679,27267
112.2093827,33377
123.587037,28158
124.987037,29470
123.0459259,42401
109.0106173,33639
106.9520988,34373
108.117284,32351
118.2355556,40064
121.5511111,44626
123.7933333,64408
123.7558025,59474
124.7561728,52516
125.5880247,65473
126.8859259,44410
126.9048148,43852
126.2792593,47405
121.5692593,43793
122.2348148,49437
124.8359259,52111
133.5414815,53228
136.887037,58326
139.0414815,59824
139.8774074,55417
139.7451852,55323
138.5174074,54073
134.3762963,50594
132.3207407,60222
130.532963,87470
130.6697531,91407
128.1749383,48440
124.7053086,48112
117.1038272,38155
114.0523457,36361
112.3938272,35135
113.2759259,33900
113.5425926,40135
114.3414815,46937
115.8330864,35052
117.5760494,38510
119.7308642,42092
122.8130864,66163
125.4049383,66844
128.0219753,37317
132.6187654,50979
133.8202469,54957
133.5809877,67070
129.871358,68255
128.2728395,53668
126.7558025,72365
124.2437037,58978
123.697037,54752
124.0392593,64596
124.2841975,72456
127.1438272,63701
131.6319753,57543
142.0716049,62663
146.5745679,63952
149.4638272,70817
150.9853086,60030
150.462716,62790
148.1419753,67557
139.9401235,59635
137.0853086,80980
135.4945679,120171
138.4553086,124833
136.9271605,64168
134.1975309,61777
127.3395062,53907
124.4020988,52217
122.4583951,48554
119.9775309,43784
121.1693827,43574
124.5030864,46633
136.4245679,44774
139.2075309,46722
139.2979012,60000
131.7687654,70433
130.1691358,55014
129.5720988,42560
130.2650617,54306
131.4576543,62791
133.437284,78192
138.782716,104968
140.4023457,73346
140.8749383,111530
138.5032099,97323
137.9546914,72717
137.5320988,94222
134.3016049,79691
136.3312346,82153
140.6871605,86426
152.8395062,98470
157.7454321,107434
160.8750617,110544
162.7281481,99894
161.9303704,101046
158.9814815,92718
147.4706173,91735
145.0276543,103705
145.2417284,133743
154.3809877,151181
155.2080247,84295
153.9909877,85551
146.8839506,61527
144.4632099,54748
142.8828395,50296
142.6776543,47935
142.3769136,52706
142.5154321,66592
141.6176543,55746
143.741358,51267
147.4109877,59623
155.9445679,54439
160.2175309,67636
163.5479012,57542
165.612716,59356
167.3001235,68245
168.2871605,85430
167.6982716,96122
167.9412346,75510
168.1404938,87125
169.7301235,69584
168.7664198,62042
166.6834568,66075
157.3883951,60549
157.6365432,73925
161.3350617,63950
174.0548148,80931
180.4759259,82653
186.1692593,89754
196.2454321,80707
196.6502469,125054
192.494321,115216
173.112963,100567
167.8340741,88987
165.992963,109281
175.2577778,128588
174.5411111,70579
171.5111111,75356
160.3988889,59642
157.0688889,59590
155.7522222,53765
157.3698765,56126
159.3891358,56933
162.7309877,67900
171.1174074,63569
174.312963,56290
176.0396296,58668
173.9132099,89866
174.4902469,85734
175.3865432,59656
177.0648148,67256
178.2525926,74101
179.4125926,89478
181.3077778,87359
181.84,74498
181.7722222,112115
179.9340741,89378
179.5440741,83229
179.4318519,89026
176.9860494,107281
179.3879012,88756
184.0260494,93092
195.9839506,107246
201.2820988,118221
205.0039506,124770
209.2176543,124432
208.2358025,114373
204.1265432,106530
189.0844444,85910
184.5744444,84236
182.7911111,102010
190.2425926,118946
189.0314815,65433
185.6659259,63947
173.8204938,55929
170.8901235,51000
170.5493827,47038
175.0269136,54633
178.1939506,55457
182.2791358,69335
192.4780247,61742
194.5028395,60440
193.5491358,110356
182.4603704,82575
180.917037,64553
181.7625926,50597
189.8528395,66702
191.834321,70160
